tconst	averageRating	numVotes
tt0000878	5.0	179
tt0000880	5.8	85
tt0000882	5.7	216
tt0000884	3.5	12
tt0000886	4.7	40
tt0000887	4.9	50
tt0000890	6.9	33
tt0000891	5.6	59
tt0000892	5.5	79
tt0000893	6.2	42
tt0000895	5.5	207
tt0000896	3.2	24
tt0000897	5.3	65
tt0000898	5.2	27
tt0000900	3.6	24
tt0000901	4.5	25
tt0000902	4.5	17
tt0000903	5.4	22
tt0000904	5.3	116
tt0000905	4.8	24
tt0000908	6.0	31
tt0000910	4.8	27
tt0000911	2.6	26
tt0000912	4.2	68
tt0000916	6.0	64
tt0000919	3.2	24
tt0000920	4.2	24
tt0000921	5.0	26
tt0000922	5.4	112
tt0000924	6.1	186
tt0000928	5.3	96
tt0000929	5.3	46
tt0000930	4.6	12
tt0000932	3.2	10
tt0000933	4.8	49
tt0000934	3.8	20
tt0000935	6.1	110
tt0000936	6.2	121
tt0000938	4.5	188
tt0000939	4.9	20
tt0000941	4.5	27
tt0000942	6.1	1029
tt0000944	3.8	11
tt0000945	4.7	79
tt0000946	4.6	82
tt0000950	4.0	16
tt0000954	5.0	17
tt0000956	5.6	16
tt0000957	6.1	50
tt0000958	5.3	17
tt0000960	4.7	291
tt0000961	8.1	22
tt0000962	4.4	15
tt0000964	4.5	17
tt0000966	5.6	353
tt0000967	4.4	18
tt0000969	6.4	25
tt0000970	5.8	81
tt0000971	6.3	178
tt0000972	5.7	93
tt0000974	5.1	59
tt0000975	5.1	22
tt0000976	3.9	20
tt0000979	4.9	30
tt0000981	5.6	59
tt0000985	4.4	16
tt0000986	5.1	118
tt0000987	7.8	10
tt0000988	4.7	25
tt0000989	4.7	49
tt0000990	5.9	83
tt0000992	4.4	15
tt0000995	6.6	18
tt0000997	6.2	16
tt0000998	5.2	18
tt0001000	5.3	55
tt0001001	5.2	140
tt0001002	4.8	100
tt0001005	4.8	20
tt0001008	5.2	29
tt0001009	6.5	982
tt0001010	4.2	15
tt0001011	4.4	17
tt0001013	5.9	402
tt0001014	5.0	116
tt0001015	4.7	26
tt0001016	5.1	146
tt0001020	4.2	14
tt0001025	7.3	17
tt0001027	5.3	17
tt0001028	4.1	18
tt0001029	5.1	51
tt0001032	6.0	922
tt0001033	4.4	21
tt0001035	5.1	37
tt0001036	2.6	12
tt0001037	3.4	18
tt0001038	3.7	22
tt0001041	5.2	41
tt0001044	5.5	114
tt0001045	5.6	15
tt0001049	3.5	17
tt0001050	4.9	86
tt0001052	4.8	17
tt0001053	5.4	16
tt0001054	5.7	35
tt0001058	5.0	25
tt0001061	6.5	57
tt0001062	6.2	1248
tt0001063	5.2	17
tt0001064	4.8	44
tt0001065	4.2	17
tt0001066	4.8	21
tt0001067	5.9	48
tt0001071	6.0	15
tt0001072	5.7	372
tt0001074	5.6	21
tt0001075	4.4	17
tt0001076	5.2	26
tt0001077	5.0	15
tt0001078	5.4	54
tt0001079	3.8	17
tt0001083	5.0	145
tt0001084	5.2	177
tt0001085	4.8	17
tt0001086	5.7	17
tt0001088	5.0	77
tt0001089	8.2	38
tt0001090	6.5	16
tt0001091	5.3	209
tt0001092	5.7	53
tt0001094	3.8	17
tt0001095	2.4	17
tt0001098	5.9	20
tt0001099	5.0	17
tt0001101	4.7	38
tt0001103	5.4	67
tt0001104	4.8	59
tt0001105	6.4	973
tt0001106	5.9	150
tt0001107	6.1	99
tt0001111	4.5	16
tt0001112	3.8	44
tt0001113	5.1	17
tt0001115	4.3	19
tt0001116	4.6	19
tt0001117	5.4	15
tt0001118	5.5	207
tt0001120	5.6	243
tt0001121	4.4	58
tt0001122	5.4	20
tt0001129	4.8	68
tt0001135	4.4	59
tt0001139	5.5	40
tt0001143	4.5	53
tt0001144	4.5	53
tt0001145	5.8	10
tt0001150	5.2	125
tt0001151	4.0	61
tt0001152	5.4	80
tt0001153	3.7	56
tt0001156	4.0	56
tt0001159	5.6	29
tt0001161	4.2	58
tt0001165	4.4	41
tt0001175	5.2	41
tt0001176	4.2	40
tt0001184	3.8	21
tt0001185	7.0	19
tt0001186	5.4	74
tt0001187	4.4	41
tt0001190	6.6	14
tt0001195	4.4	15
tt0001196	4.1	9
tt0001200	4.5	45
tt0001202	4.6	39
tt0001206	6.0	44
tt0001207	5.5	147
tt0001211	5.5	46
tt0001214	6.6	9
tt0001216	4.6	40
tt0001217	5.6	110
tt0001218	5.2	119
tt0001223	6.4	4506
tt0001227	5.8	265
tt0001230	5.0	30
tt0001234	5.4	44
tt0001235	5.3	58
tt0001236	5.0	43
tt0001237	4.8	75
tt0001240	3.8	22
tt0001241	4.5	16
tt0001242	5.1	18
tt0001245	5.6	77
tt0001253	5.6	23
tt0001254	4.4	24
tt0001256	5.9	560
tt0001258	5.8	161
tt0001262	4.8	32
tt0001264	6.9	78
tt0001265	6.4	546
tt0001277	4.4	24
tt0001280	4.9	35
tt0001282	6.8	37
tt0001283	5.7	25
tt0001284	4.9	48
tt0001285	5.4	59
tt0001292	4.9	65
tt0001294	7.2	16
tt0001299	3.1	16
tt0001303	6.0	18
tt0001306	4.8	11
tt0001307	5.5	17
tt0001310	5.4	30
tt0001313	5.1	14
tt0001314	5.8	162
tt0001315	5.9	25
tt0001321	5.2	61
tt0001326	5.5	64
tt0001330	5.5	42
tt0001332	5.3	34
tt0001333	5.6	60
tt0001334	6.2	19
tt0001337	5.5	60
tt0001338	5.2	18
tt0001340	5.2	100
tt0001348	4.0	12
tt0001351	6.0	65
tt0001353	5.0	13
tt0001358	4.2	25
tt0001364	6.2	12
tt0001370	5.3	25
tt0001371	5.9	426
tt0001377	4.9	28
tt0001378	6.0	220
tt0001379	4.6	12
tt0001380	3.6	11
tt0001381	5.7	40
tt0001385	5.3	80
tt0001386	4.3	19
tt0001387	5.3	35
tt0001388	5.7	89
tt0001396	3.0	18
tt0001400	6.4	17
tt0001401	6.0	33
tt0001407	6.0	21
tt0001410	4.6	22
tt0001414	6.3	67
tt0001423	4.2	13
tt0001428	5.1	55
tt0001431	6.3	825
tt0001432	5.5	33
tt0001439	5.8	272
tt0001440	4.7	22
tt0001443	5.8	17
tt0001444	3.2	33
tt0001446	5.3	18
tt0001452	5.5	214
tt0001454	5.6	38
tt0001456	8.5	17
tt0001458	5.8	206
tt0001459	5.4	61
tt0001460	2.9	18
tt0001461	6.0	34
tt0001463	5.7	1593
tt0001469	5.7	145
tt0001475	7.5	21
tt0001481	5.6	41
tt0001482	4.9	77
tt0001488	6.3	520
tt0001490	4.6	24
tt0001496	4.2	66
tt0001497	7.2	10
tt0001498	7.8	14
tt0001499	5.7	366
tt0001500	5.0	8
tt0001508	4.8	51
tt0001510	5.3	69
tt0001517	5.5	44
tt0001518	5.6	22
tt0001519	5.0	40
tt0001527	7.7	3080
tt0001529	4.0	22
tt0001530	5.4	18
tt0001531	4.6	15
tt0001532	5.2	14
tt0001542	4.0	35
tt0001544	6.0	762
tt0001545	6.1	144
tt0001550	5.4	52
tt0001551	5.2	98
tt0001552	4.8	39
tt0001557	4.8	112
tt0001560	4.5	26
tt0001563	5.8	42
tt0001564	4.1	31
tt0001571	4.4	29
tt0001577	4.4	31
tt0001582	4.4	32
tt0001583	5.5	17
tt0001584	5.9	14
tt0001586	3.7	18
tt0001587	4.1	27
tt0001588	5.4	210
tt0001590	5.6	6
tt0001592	6.0	25
tt0001593	6.3	384
tt0001594	6.4	344
tt0001598	5.5	46
tt0001607	5.4	78
tt0001613	5.3	163
tt0001614	6.3	38
tt0001615	4.9	39
tt0001618	6.1	20
tt0001624	5.1	49
tt0001630	6.2	36
tt0001632	6.4	47
tt0001642	5.0	41
tt0001648	4.2	8
tt0001654	5.3	39
tt0001655	4.0	18
tt0001658	5.9	16
tt0001659	6.6	18
tt0001660	5.6	218
tt0001668	4.2	36
tt0001671	4.9	37
tt0001680	5.1	637
tt0001681	4.8	300
tt0001692	5.4	14
tt0001693	6.9	24
tt0001695	4.8	62
tt0001696	4.2	12
tt0001701	4.6	79
tt0001706	4.3	18
tt0001709	5.5	41
tt0001712	4.6	8
tt0001715	3.1	9
tt0001717	3.4	24
tt0001722	4.2	12
tt0001724	5.8	280
tt0001728	6.7	16
tt0001732	7.1	17
tt0001733	5.2	23
tt0001737	7.1	1778
tt0001738	6.8	60
tt0001740	6.5	1268
tt0001741	4.5	24
tt0001742	5.7	15
tt0001747	4.9	24
tt0001753	5.3	19
tt0001761	5.0	6
tt0001762	4.7	73
tt0001769	5.4	82
tt0001771	5.5	162
tt0001772	5.6	22
tt0001776	6.5	231
tt0001777	5.1	19
tt0001779	7.0	16
tt0001787	8.0	14
tt0001789	6.3	288
tt0001790	6.0	52
tt0001791	5.3	12
tt0001799	4.9	14
tt0001803	3.0	12
tt0001812	5.5	14
tt0001815	6.7	26
tt0001817	5.2	89
tt0001832	5.8	60
tt0001840	4.8	43
tt0001845	5.1	11
tt0001848	4.3	43
tt0001852	4.1	12
tt0001856	4.7	54
tt0001857	5.6	220
tt0001862	5.2	46
tt0001865	5.8	80
tt0001868	5.1	9
tt0001871	4.8	60
tt0001872	7.4	58
tt0001874	7.8	12
tt0001877	5.3	72
tt0001886	4.6	12
tt0001889	4.0	15
tt0001892	5.8	249
tt0001896	5.1	80
tt0001910	5.3	74
tt0001911	3.6	24
tt0001913	5.4	237
tt0001915	5.5	130
tt0001921	5.3	15
tt0001923	7.2	36
tt0001924	5.4	12
tt0001925	5.0	50
tt0001927	5.0	12
tt0001928	4.5	55
tt0001941	5.1	92
tt0001949	5.6	27
tt0001956	6.1	16
tt0001957	4.9	54
tt0001963	5.6	162
tt0001964	5.9	91
tt0001967	5.9	11
tt0001969	5.4	14
tt0001973	6.1	283
tt0001978	5.6	43
tt0001987	6.1	25
tt0001989	5.0	15
tt0001993	4.1	22
tt0001998	4.4	37
tt0002004	5.9	14
tt0002020	4.6	146
tt0002022	6.0	13
tt0002026	4.5	14
tt0002029	6.0	66
tt0002031	4.0	22
tt0002033	5.3	42
tt0002034	5.3	57
tt0002041	4.4	67
tt0002045	4.3	90
tt0002046	3.5	8
tt0002054	5.9	218
tt0002056	6.6	211
tt0002064	4.8	83
tt0002065	6.2	64
tt0002066	3.8	100
tt0002068	4.9	53
tt0002070	5.2	48
tt0002071	4.2	18
tt0002078	5.0	67
tt0002082	6.0	412
tt0002083	6.1	297
tt0002093	4.6	39
tt0002095	4.9	38
tt0002096	4.1	17
tt0002097	3.9	38
tt0002098	5.9	152
tt0002101	5.1	566
tt0002107	4.7	24
tt0002113	6.8	1119
tt0002114	4.6	17
tt0002121	4.9	49
tt0002122	6.2	317
tt0002124	5.1	383
tt0002126	6.1	84
tt0002130	7.0	3197
tt0002132	5.7	22
tt0002133	5.7	214
tt0002136	5.6	98
tt0002139	5.7	20
tt0002143	6.0	725
tt0002144	5.1	17
tt0002145	8.9	13
tt0002151	5.0	32
tt0002153	5.9	77
